CATEGORIA_,decimalLatitude,decimalLongitude,TIPO_den,año,TIPO_inf
"3",10.502,-84.702,Suelos,"2018",movimiento 
"3",9.93,-84.083,Suelos,"2018",movimiento 
"3",10.211,-83.789,Suelos,"2018",erosion
"3",10.308,-85.819,Suelos,"2018",movimiento 
"4",10.298,-85.84,Mineria,"2018",extraccion tajo
"0",10.302,-85.837,Forestal ,"2019",Invasion ASP 
"3",9.69,-85.103,Suelos,"2018",movimiento 
"2",9.611,-84.629,Vida silvestre,"2019",tenencia ilegal
"4",9.716,-85.018,Mineria,"2018",extraccion tajo
"2",9.766,-83.8,Vida silvestre,"2019",caceria
"1",10.148,-85.806,Agua ,"2019",desvio 
"3",10.733,-85.053,Suelos,"2018",movimiento 
"3",9.611,-84.628,Suelos,"2018",movimiento 
"2",9.79,-83.855,Vida silvestre,"2019",caceria
"1",8.958,-83.455,Agua ,"2019",contaminacion
"3",10.087,-84.469,Suelos,"2018",quema 
"4",10.459,-84.462,Mineria,"2018",extraccion tajo
"3",10.497,-84.916,Suelos,"2018",quema 
"4",9.484,-84.299,Mineria,"2018",sedimentacion cuerpo agua
"3",9.185,-83.339,Suelos,"2018",quema 
"3",8.369,-83.144,Suelos,"2018",contaminacion
"3",10.538,-83.502,Suelos,"2018",movimiento 
"2",9.931,-84.073,Vida silvestre,"2019",caceria
"2",10.301,-84.804,Vida silvestre,"2019",caceria
"3",9.378,-84.142,Suelos,"2019",movimiento 
"3",10.297,-85.841,Suelos,"2019",quema 
"4",9.936,-84.099,Mineria,"2019",sedimentacion cuerpo agua
"2",10.481,-84.643,Vida silvestre,"2019",tenencia ilegal
"1",10.03,-84.225,Agua ,"2019",contaminacion
"3",10.528,-83.499,Suelos,"2019",quema 
"1",10.896,-85.014,Agua ,"2019",obras no autorizadas en cauce
"3",9.997,-84.113,Suelos,"2019",quema 
"1",9.422,-84.166,Agua ,"2019",contaminacion
"2",9.379,-84.145,Vida silvestre,"2019",caceria
"3",9.931,-84.072,Suelos,"2019",movimiento 
"5",10.572,-85.677,Contaminacion aire ,"2018",mal olor
"1",10.334,-85.848,Agua ,"2019",desvio 
"2",10.571,-85.677,Vida silvestre,"2019",caceria
"3",10.137,-84.478,Suelos,"2019",quema 
"2",9.408,-84.154,Vida silvestre,"2019",caceria
"5",9.643,-84.627,Contaminacion aire ,"2018",mal olor
"0",10.573,-85.677,Forestal ,"2019",Invasion ASP 
"3",9.872,-83.677,Suelos,"2019",movimiento 
"0",10.549,-85.696,Forestal ,"2019",Tala
"1",9.689,-85.099,Agua ,"2019",desvio 
"1",10.573,-85.673,Agua ,"2019",obras no autorizadas en cauce
"2",10.573,-85.677,Vida silvestre,"2019",caceria
"3",9.741,-84.582,Suelos,"2019",movimiento 
"3",9.426,-84.138,Suelos,"2019",erosion
"2",9.436,-84.155,Vida silvestre,"2019",tenencia ilegal
"3",9.418,-84.161,Suelos,"2019",movimiento 
"4",9.94,-84.077,Mineria,"2018",sedimentacion cuerpo agua
"0",10.301,-84.803,Forestal ,"2019",Incendio 
"1",10.029,-84.012,Agua ,"2019",desvio 
"3",9.976,-84.16,Suelos,"2019",contaminacion
